S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
475,KANDLA,MUMBAI,22,23,45
476,PORT BLAIR,VISAKHAPATNAM,14,15,29
477,JAIPUR,KOLKATA,110,129,239
478,JAIPUR,LUCKNOW,18,16,34
479,JAIPUR,MUMBAI,314,320,634
480,JAIPUR,PATNA,1,1,2
481,JAIPUR,PUNE,101,86,187
482,JAIPUR,SURAT,30,30,60
483,JAIPUR,UDAIPUR,16,21,37
484,JHARSUGUDA,MUMBAI,2,3,5
485,JAIPUR,VADODARA,2,2,4
486,JAIPUR,VARANASI,8,8,16
487,JODHPUR,KOLKATA,13,11,24
488,JODHPUR,MUMBAI,72,77,149
489,JAMNAGAR,MUMBAI,30,34,64
490,JAGDALPUR,RAIPUR,12,13,25
491,JABALPUR,KOLKATA,7,7,14
492,JABALPUR,MUMBAI,34,30,64
493,JABALPUR,PUNE,15,14,29
494,JHARSUGUDA,KOLKATA,12,12,24
495,JHARSUGUDA,RAIPUR,8,6,14
496,JORHAT,KOLKATA,34,35,69
497,KURNOOL,VISAKHAPATNAM,7,8,15
498,KOLHAPUR,TIRUPATI,14,18,32
500,KANPUR,MUMBAI,54,56,110
501,AJMER,DELHI,14,14,28
502,AJMER,HYDERABAD,1,1,2
503,AJMER,INDORE,3,3,6
504,AJMER,MUMBAI,2,2,4
505,AJMER,SURAT,3,4,7
506,LUCKNOW,MUMBAI,230,216,446
507,LUCKNOW,NAGPUR,13,12,25
508,LUCKNOW,PANTNAGAR,6,6,12
509,LUCKNOW,PATNA,28,36,64
510,LUCKNOW,PUNE,37,27,64
511,KOLKATA,PAKYONG,4,3,7
512,LUCKNOW,RAIPUR,9,11,20
513,LUCKNOW,RANCHI,24,28,52
514,LUCKNOW,SRINAGAR,5,8,13
515,CHENNAI,COIMBATORE,314,298,612
516,CHENNAI,DABOLIM,43,44,87
517,CHENNAI,DARBHANGA,5,3,8
518,CHENNAI,DEHRA DUN,7,8,15
519,CHENNAI,DELHI,778,748,1526
520,CHENNAI,DIBRUGARH,3,4,7
521,CHENNAI,DURGAPUR,29,36,65
523,CHENNAI,GUWAHATI,94,115,209
524,CHENNAI,HUBLI,16,16,32
525,CHENNAI,HYDERABAD,367,377,744
526,CHENNAI,INDORE,13,14,27
527,CHENNAI,JAIPUR,45,41,86
528,CHENNAI,JODHPUR,45,47,92
529,CHENNAI,KADAPA,4,3,7
530,CHENNAI,KANNUR,20,17,37
531,CHENNAI,KOCHI,171,158,329
532,CHENNAI,KOLKATA,313,339,652
533,CHENNAI,KOZHIKODE,19,18,37
534,CHENNAI,KURNOOL,4,5,9
535,CHENNAI,LUCKNOW,40,39,79
536,CHENNAI,MADURAI,131,133,264
537,CHENNAI,MANGALORE,20,19,39
538,CHENNAI,MUMBAI,734,702,1436
539,CHENNAI,MYSORE,20,17,37
540,CHENNAI,PATNA,17,20,37
541,CHENNAI,PORT BLAIR,137,151,288
542,CHENNAI,PUNE,192,204,396
543,CHENNAI,RAIPUR,26,26,52
544,CHENNAI,RAJAHMUNDRY,24,27,51
545,CHENNAI,RANCHI,25,35,60
546,CHENNAI,SHIRDI,64,62,126
547,CHENNAI,SRINAGAR,6,6,12
548,CHENNAI,SURAT,36,33,69
549,CHENNAI,TIRUCHIRAPALLY,75,71,146
550,CHENNAI,TRIVANDRUM,136,142,278
551,CHENNAI,TUTICORIN,67,65,132
552,CHENNAI,VADODARA,7,7,14
553,CHENNAI,VARANASI,25,22,47
554,CHENNAI,VIJAYAWADA,41,49,90
555,CHENNAI,VISAKHAPATNAM,89,110,199
556,NAGPUR,PUNE,126,120,246
557,BILASPUR,DELHI,3,4,7
558,BILASPUR,JABALPUR,3,4,7
559,PATNA,PUNE,48,40,88
560,PATNA,RANCHI,37,31,68
561,PATNA,VARANASI,1,1,2
562,PUNE,RAIPUR,20,20,40
563,PUNE,RANCHI,41,45,86
564,PUNE,TIRUPATI,9,9,18
565,DURGAPUR,HYDERABAD,25,19,44
566,DURGAPUR,MUMBAI,34,26,60
568,DURGAPUR,TRIVANDRUM,1,1,2
570,RAJAHMUNDRY,TIRUPATI,7,6,13
571,RAJAHMUNDRY,VISAKHAPATNAM,5,5,10
572,RAIPUR,SRINAGAR,3,5,8
575,SHIRDI,TIRUPATI,7,7,14
577,SHILLONG,SILCHAR,3,4,7
578,TIRUPATI,VIJAYAWADA,11,10,21
579,TIRUPATI,VISAKHAPATNAM,20,20,40
580,GHAZIABAD,HUBLI,8,7,15
581,GHAZIABAD,"KALABURAGI, KARNATAKA",3,4,7
582,VIJAYAWADA,VISAKHAPATNAM,18,19,37
583,Deoghar Airport,KOLKATA,7,7,14
584,Deoghar Airport,DELHI,36,34,70
